market,code,name,price,prev_close,change_rate,recent_posts_count,latest_posts,change_rate_val
KOSPI,084670,동양고속,46850,36049,+29.96%,0,,29.96
KOSPI,128820,대성산업,5940,5129,+15.79%,400,"[{'title': '시외 폭락이라...', 'date': '2025.12.10 19:13', 'views': '28'}, {'title': '기타법인 기관매수 -먼가조만간 1000평땅 재...', 'date': '2025.12.10 19:06', 'views': '70'}, {'title': '강남터미널내 대지 규모는 1150여평으로 터미...[1]', 'date': '2025.12.10 18:59', 'views': '93'}, {'title': '글쓰는 재주들이 많네 ㅎㅎ', 'date': '2025.12.10 18:54', 'views': '1'}, {'title': '어차피 .. 지수도  안오르고  테마주로 갈 ...', 'date': '2025.12.10 18:47', 'views': '1'}]",15.79
KOSPI,007460,에이프로젠,910,805,+13.04%,122,"[{'title': '캄보디아=에이프로젠', 'date': '2025.12.10 19:32', 'views': '1'}, {'title': '천기누설', 'date': '2025.12.10 19:30', 'views': '1'}, {'title': '주식시장 활성화 그리고 정상화라는[1]', 'date': '2025.12.10 19:22', 'views': '1'}, {'title': '더볼게있나[2]', 'date': '2025.12.10 18:49', 'views': '90'}, {'title': '923원 익절 매도[1]', 'date': '2025.12.10 18:40', 'views': '1'}]",13.04
KOSPI,249420,일동제약,32500,29699,+9.43%,400,"[{'title': '일동제약 , 지금 흐름이 심상치 않습니다', 'date': '2025.12.10 19:30', 'views': '15'}, {'title': '시외 백억?1분도 안되는 요새 거래를 몰그리 반...', 'date': '2025.12.10 19:29', 'views': '8'}, {'title': '개인이 3일째 털렸고', 'date': '2025.12.10 19:29', 'views': '8'}, {'title': '저 좀 알려주세요...ㅜ[2]', 'date': '2025.12.10 19:27', 'views': '23'}, {'title': '그동안외인개관하던짓이있어~~~~', 'date': '2025.12.10 19:26', 'views': '16'}]",9.43
KOSPI,105840,우진,18240,17330,+5.25%,0,,5.25
KOSPI,000660,SK하이닉스,587000,566001,+3.71%,0,,3.71
KOSPI,011280,태림포장,1960,1925,+1.77%,0,,1.77
KOSPI,001520,동양,834,828,+0.72%,0,,0.72
KOSPI,018880,한온시스템,3710,3694,+0.41%,0,,0.41
KOSPI,034020,두산에너빌리티,76800,76700,+0.13%,0,,0.13
KOSPI,005930,삼성전자,108000,108401,-0.37%,400,"[{'title': '1찍은 전부 조진웅같은 범죄자들[1]', 'date': '2025.12.10 19:31', 'views': '8'}, {'title': '옿 미장', 'date': '2025.12.10 19:30', 'views': '5'}, {'title': '삼성전자는 정치글 때문에', 'date': '2025.12.10 19:30', 'views': '7'}, {'title': '대장동 수괴의 개 특검이 민주당 비리를 감추려다 ...', 'date': '2025.12.10 19:29', 'views': '6'}, {'title': '좌파운운억지생때생쇼부린 2찍아  조선의모스크바를뛰...', 'date': '2025.12.10 19:29', 'views': '5'}]",-0.37
KOSPI,015760,한국전력,49800,50800,-1.97%,0,,-1.97
KOSPI,035720,카카오,59200,60799,-2.63%,0,,-2.63
KOSPI,010140,삼성중공업,26250,27050,-2.96%,0,,-2.96
KOSPI,013360,일성건설,2245,2324,-3.44%,0,,-3.44
KOSPI,012610,경인양행,3665,3855,-4.93%,82,"[{'title': '경인양행 주가분석 리포트(25.12.09.) :...[1]', 'date': '2025.12.10 18:08', 'views': '65'}, {'title': '다 팔고 갑니다[1]', 'date': '2025.12.10 16:55', 'views': '95'}, {'title': '( 변, 동 관 련 )', 'date': '2025.12.10 16:28', 'views': '68'}, {'title': '어차피', 'date': '2025.12.10 16:16', 'views': '36'}, {'title': '여기가 한의원이냐? 침 맞았네', 'date': '2025.12.10 15:31', 'views': '30'}]",-4.93
KOSPI,092200,디아이씨,10900,11660,-6.52%,0,,-6.52
KOSPI,001360,삼성제약,1755,1977,-11.23%,0,,-11.23
KOSPI,004310,현대약품,6110,6959,-12.21%,0,,-12.21
KOSPI,450140,코오롱모빌리티그룹,9060,10839,-16.42%,0,,-16.42
